,Sex,Gym,Suburb_updated,Postcode_updated,Lat_precise,Long_precise,Age
0,Male,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,11
1,Male,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,37
2,Male,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,55
3,Female,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,35
4,Male,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,28
5,Male,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,30
6,Female,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,29
7,Male,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,58
8,Male,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,8
9,Male,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,36
10,Male,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,28
11,Male,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,28
12,Female,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,42
13,Female,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,29
14,Male,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,30
15,Male,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,33
16,Male,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,22
17,Female,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,54
18,Female,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,14
19,Male,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,35
20,Female,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,38
21,Male,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,49
22,Female,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,36
23,Male,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,10
24,Female,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,7
25,Male,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,25
26,Male,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,24
27,Female,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,34
28,Female,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,34
29,Male,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,30
30,Female,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,32
31,Male,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,32
32,Male,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,35
33,Male,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,41
34,Male,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,33
35,Female,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,13
36,Female,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,11
37,Male,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,39
38,Male,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,25
39,Male,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,32
40,Female,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,25
41,Female,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,11
42,Male,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,11
43,Male,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,31
44,Male,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,31
45,Male,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,15
46,Male,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,41
47,Female,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,30
48,Female,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,30
49,Male,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,29
50,Male,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,23
51,Male,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,29
52,Male,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,22
53,Female,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,53
54,Male,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,56
55,Female,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,12
56,Female,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,20
57,Male,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,40
58,Female,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,15
59,Female,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,13
61,Male,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,31
62,Female,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,15
63,Female,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,15
64,Male,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,40
65,Female,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,25
66,Female,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,35
67,Female,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,30
68,Female,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,33
69,Male,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,27
70,Male,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,35
71,Male,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,22
72,Male,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,22
73,Female,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,31
74,Male,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,47
75,Male,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,15
76,Female,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,12
77,Male,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,30
78,Female,Oconnor,Hamilton hill,6163,-32.0860323,115.7764909,33
