,id,postcode,locality,state,long,lat,dc,type,status,sa3,sa3name,sa4,sa4name,region,Lat_precise,Long_precise,SA1_MAINCODE_2011,SA1_MAINCODE_2016,SA2_MAINCODE_2016,SA2_NAME_2016,SA3_CODE_2016,SA3_NAME_2016,SA4_CODE_2016,SA4_NAME_2016,RA_2011,RA_2016,MMM_2015,MMM_2019,ced,altitude,chargezone,phn_code,phn_name,lgaregion,electorate,electoraterating
333,414,872,GIBSON DESERT NORTH,WA,131.298809,-21.949513,,,Updated 6-Feb-2020,70202.0,Barkly,702.0,Northern Territory - Outback,R1,-22.2876036,126.8924386,50806121903.0,51002126706.0,510021267.0,East Pilbara,51002.0,East Pilbara,510.0,Western Australia - Outback (North),5.0,5.0,7.0,7.0,,311.3838806,NT1,PHN701,Northern Territory,MacDonnell,Lingiari,Rural
334,20143,872,GIBSON DESERT SOUTH,WA,125.9841842,-24.94725917,Northern Territory Country 3,Delivery Area,Updated 6-Feb-2020,70202.0,Barkly,702.0,Northern Territory - Outback,R1,-25.0143,126.93,50803120305.0,51103128302.0,511031283.0,Leinster - Leonora,51103.0,Goldfields,511.0,Western Australia - Outback (South),5.0,5.0,7.0,7.0,,311.3838806,NT1,PHN701,Northern Territory,MacDonnell,Lingiari,Rural
354,20156,872,KIWIRRKURRA,WA,126.954107,-23.2807675,Northern Territory Country 3,Delivery Area,Updated 6-Feb-2020,70202.0,Barkly,702.0,Northern Territory - Outback,R1,-22.8151,127.762,50806121909.0,51002126709.0,510021267.0,East Pilbara,51002.0,East Pilbara,510.0,Western Australia - Outback (North),5.0,5.0,7.0,7.0,,331.7560425,NT1,PHN701,Northern Territory,MacDonnell,Lingiari,Rural
370,20169,872,NGAANYATJARRA-GILES,WA,128.1150802,-25.27073166,Northern Territory Country 3,Delivery Area,Updated 6-Feb-2020,70202.0,Barkly,702.0,Northern Territory - Outback,R1,-25.0555,128.311,50803120305.0,51103128302.0,511031283.0,Leinster - Leonora,51103.0,Goldfields,511.0,Western Australia - Outback (South),5.0,5.0,7.0,7.0,,311.3838806,NT1,PHN701,Northern Territory,MacDonnell,Lingiari,Rural
374,20173,872,PATJARR,WA,131.6138326,-23.4686864,Northern Territory Country 3,Delivery Area,Updated 6-Feb-2020,70202.0,Barkly,702.0,Northern Territory - Outback,R1,-24.6163,126.314,50803120305.0,51103128302.0,511031283.0,Leinster - Leonora,51103.0,Goldfields,511.0,Western Australia - Outback (South),5.0,5.0,7.0,7.0,,695.5363159,NT1,PHN701,Northern Territory,MacDonnell,Lingiari,Rural
389,20183,872,TJIRRKARLI,WA,125.3466253,-25.9752687,Northern Territory Country 3,Delivery Area,Updated 6-Feb-2020,70202.0,Barkly,702.0,Northern Territory - Outback,R1,-26.0017,125.471,50803120305.0,51103128302.0,511031283.0,Leinster - Leonora,51103.0,Goldfields,511.0,Western Australia - Outback (South),5.0,5.0,7.0,7.0,,404.83078,NT1,PHN701,Northern Territory,MacDonnell,Lingiari,Rural
390,20184,872,TJUKURLA,WA,128.656027,-24.343546,Northern Territory Country 3,Delivery Area,Updated 6-Feb-2020,70202.0,Barkly,702.0,Northern Territory - Outback,R1,-24.3475,128.719,50803120305.0,51103128302.0,511031283.0,Leinster - Leonora,51103.0,Goldfields,511.0,Western Australia - Outback (South),5.0,5.0,7.0,7.0,,311.3838806,NT1,PHN701,Northern Territory,MacDonnell,Lingiari,Rural
397,444,872,WARAKURNA,WA,131.298809,-21.949513,,,Updated 6-Feb-2020,70202.0,Barkly,702.0,Northern Territory - Outback,R1,-25.0011,128.288,50803120303.0,51103128315.0,511031283.0,Leinster - Leonora,51103.0,Goldfields,511.0,Western Australia - Outback (South),5.0,5.0,7.0,7.0,,311.3838806,NT1,PHN701,Northern Territory,MacDonnell,Lingiari,Rural
402,20190,872,WINGELLINA,WA,131.6138326,-23.4686864,Northern Territory Country 3,Delivery Area,Updated 6-Feb-2020,70202.0,Barkly,702.0,Northern Territory - Outback,R1,-26.0644,128.931,50803120304.0,51103128316.0,511031283.0,Leinster - Leonora,51103.0,Goldfields,511.0,Western Australia - Outback (South),5.0,5.0,7.0,7.0,,695.5363159,NT1,PHN701,Northern Territory,MacDonnell,Lingiari,Rural
15675,10026,6000,CITY DELIVERY CENTRE,WA,115.859912,-31.948762,Perth Metro,,Updated 6-Feb-2020,50302.0,Perth City,503.0,Perth - Inner,R2,-31.955,115.855,50302104109.0,50302104172.0,503021041.0,Perth City,50302.0,Perth City,503.0,Perth - Inner,1.0,1.0,1.0,1.0,Perth,,W1,PHN501,Perth North,Vincent,Perth,Inner Metropolitan
